NAME,STRENGTH/ MPa,ERROR,TOUGHNESS/ MJm-3,ERROR,DIAMETER/μm,ERROR,EXTENSIBILITY / %,ERROR,STIFFNESS/ GPa,ERROR,1/DIAMETER,ERROR (FROM %),PROCESS
1,39,7.4,59.28,37.16,36,5.9,181.3,103.5,1.6,0.35,0.027777778,0.004552469,Wet
2,150,39,,,13,7,47,26,,,0.076923077,0.041420118,Wet
3,370,59,189,33,27,10,110,25,4,1,0.037037037,0.013717421,Wet
4,132,13,,,9,1,204,20,,,0.111111111,0.012345679,Natural
5,29,14.1,7.14,4.89,50.8,4.6,27.3,14,1.51,0.59,0.019685039,0.001782504,Wet
6,128.8,20.83,95.89,18.23,32.88,2.65,87.7,11.6,3,1,0.030413625,0.00245122,Wet
7,1183,334,167,65,4,0.4,24,8,8,2,0.25,0.025,Natural
8,221.72,11.01,102.46,13.59,28.98,1.12,56,6.6,2.8,1,0.034506556,0.001333587,Wet
9,470.4,53.5,101.4,15,12.8,4.6,38.6,6.3,6.9,2.1,0.078125,0.028076172,Wet
10,281,200,41.45,34.16,15.32,4.69,13.81,5.49,20.64,13.1,0.065274151,0.019982753,Natural
11,286.2,137.7,37.7,28.8,14,4,18.3,12.8,8.4,4.3,0.071428571,0.020408163,Microfluidic (Wet)
12,508,108,,,,,15,5,21,4,,,Wet
13,541.3,26.1,73.6,22,9,1.3,19.3,4.8,9.4,1.2,0.111111111,0.016049383,Microfluidic (Dry)
14,450,30,91,7.4,14.9,4.7,27.3,4.6,18.9,1.1,0.067114094,0.021170218,Wet
15,350.4,41.3,49.1,15.5,11.4,5,17.6,4.1,13.8,1.4,0.087719298,0.038473376,Wet
16,95.1,3.3,20.7,3.8,30.5,0.5,25,4,,,0.032786885,0.00053749,Wet
17,614,61,131.3,13,2,0.2,27,3,19,2,0.5,0.05,Microfluidic (Dry)
18,308,57,,,10,4,10,3,9.3,3,0.1,0.04,Wet
19,233.6,22.5,,,27.4,1.8,7.3,1.5,4.8,1,0.03649635,0.00239757,Dry
20,62.3,17.2,1.6,0.9,34,4,3.5,1.2,4,2.8,0.029411765,0.003460208,Microfluidic (Wet)
21,158.6,7.5,11.9,1.6,24.5,0.3,13,1,,,0.040816327,0.000499792,Wet
22,325,2,20,3,13.3,0.5,9,1,13.4,0.3,0.07518797,0.002826615,Wet
23,72,10,7.8,2.6,15,5,13.5,0.4,3.4,0.8,0.066666667,0.022222222,Microfluidic (Wet)
24,2500,250,53,10,12.35,0.52,2.5,0.1,130,5,0.08097166,0.003409333,Man-Made
25,198,19,,,80,8,,,7.3,1.3,0.0125,0.00125,Self Assembly
26,133,11,85,9,21,1,94,11,,,0.047619048,0.002267574,Wet
27,162,8,45,7,12,2,37,5,6,0.8,0.083333333,0.013888889,Wet
28,265.9,59.7,79.4,39.5,19.9,8.4,38,9.6,10.2,2.4,0.050251256,0.021211586,Wet
